text,label,binary_label
wrap infra app in redirectapplinks summary as discussed we want to wrap infra app in redirectapplinks like in so having that on higher level will prevent repeating it for several links and will improve feature link creation and maintainability ac infra app should be wrapped in redirectapplinks like in remove the wrapper from the link components that are using it currently all links currently wrapped in redirectapplinks should work as before,technical debt,1
flaky test locationchanginghandlers cannotcancelthenavigationasynchronously untilreturning note this issue template is specifically for failing tests within the dotnet aspnetcore repo failing test s provide the fully qualified name s of the failing tests microsoft aspnetcore components navigationmanagertest locationchanginghandlers cannotcancelthenavigationasynchronously untilreturning error message provide the error message associated with the test failure if applicable text assert false failure expected false actual true stacktrace provide the stack trace associated with the test failure if applicable text at microsoft aspnetcore components navigationmanagertest locationchanginghandlers cannotcancelthenavigationasynchronously untilreturning in src components components test navigationmanagertest cs line logs if this is a helix test failure include the text of the log artifact from the failing test note that you have to be signed in to azure devops to see the test artifacts text build provide a link to the build where the test failure occurred,technical debt,1
deploy service to the cloud as a service provider i need the service to be deployed to the cloud so that i can scale capacity with user demand details and assumptions we will use the ibm cloud deploy as a cloud foundry app acceptance criteria gherkin given i have deployed to the cloud when a customer comes to our url then our service will be available,technical debt,1
reuse github workflows across repositories find a way to re use github workflows between this repository periphery and other similar repositories such as core for example we could write a reusable workflow for the lint and the build jobs,non_technical debt,0
deploy your docker image to kubernetes as a software engineer performing devops activities i need to deploy the docker image of the customer accounts microservice to kubernetes so that i can manage and scale the microservice within a kubernetes cluster details and assumptions kubernetes manifests will be created in yaml format these manifests could be useful to create a cd pipeline the actual deployment will be to openshift acceptance criteria gherkin given the kubernetes manifests have been created when i use the oc command to apply the manifests then the service should be deployed and run in kubernetes,technical debt,1
use mailing list summaries rather than raw body we have the mailing list summaries indexed on es we should use those rather than the raw body to save tokens,non_technical debt,0
cve medium detected in twisted whl autoclosed cve medium severity vulnerability vulnerable library twisted whl an asynchronous networking framework written in python library home page a href path to dependency file src third party wiredtiger bench workgen path to vulnerable library src third party wiredtiger bench workgen etc pip external auth requirements txt etc pip dev requirements txt dependency hierarchy x twisted whl vulnerable library found in head commit a href found in base branch master vulnerability details twisted is an event based framework for internet applications started with version when the host header does not match a configured host twisted web vhost namevirtualhost will return a noresource resource which renders the host header unescaped into the response allowing html and script injection in practice this should be very difficult to exploit as being able to modify the host header of a normal http request implies that one is already in a privileged position this issue was fixed in version there are no known workarounds publish date url a href cvss score details base score metrics exploitability metrics attack vector network attack complexity low privileges required low user interaction required scope changed impact metrics confidentiality impact low integrity impact low availability impact none for more information on scores click a href suggested fix type upgrade version origin a href release date fix resolution twisted twisted step up your open source security game with mend,non_technical debt,0
dev crud brand crud item crud customer crud transaction crud transaction detail photo location with following pattern of object oriented programming,non_technical debt,0
deploy service to the cloud as a system administrator i need to deploy my application to the cloud infrastructure so that i can take advantage of scalability reliability and accessibility provided by cloud services details and assumptions the service will be deployed to a cloud environment that provides scalability elasticity and seamless data integration the deployment will use a managed kubernetes environment for container orchestration acceptance criteria gherkin given the service must be successfully deployed to the cloud and accessible via the internet when all functionalities of the service must operate as expected in the cloud environment then the service must meet security and compliance standards set by the cloud provider,technical debt,1
unit tests with ftp server from filesys are very slow sec per test the unit tests with an unit test ftp server from filesys takes about second to connect to the spin up instance the startup time of the ftp server is fast but the command ftpclient connect host port takes that much time changing the ftp server to start up only once does not improve this this is verified in and master today which are using jfileserver to reproduce open ftp ftpsession openftpclient and see the line with ftpclient connect host port add a log debug around it and see in the logs that it takes about second to connect used config in the pom xml org filesys jfileserver if you start up a local ftp server with docker it connects in ms you can use this docker run env ftp pass pass env ftp user frankframework publish tcp publish tcp volume tmp home garethflowers ftp server,technical debt,1
high cpu usage clangd if you have a core with a lot of files that have not been previously indexed the language server will spawn a lot of threads processes this large number of concurrent indexing operations clangd will consume all the cpu cores of the machine and slow down the user s machine,non_technical debt,0
gisassembly generatemods may need better spec coverage if we re not going to kill this code altogether see from it may be useful to add tests for geometry type ogrinfo of linestring line raster file format without tif leads to arcgrid lines if we re still going to deal with arcgrid see issue find geometry type ogrinfo with geometry output lines if those are all super rare cases in actuality shrug,technical debt,1
console error trying to load a css file in aperture theme that doesn t exist is there an existing issue for this i have searched the existing issues what happened the following line in is attempting to load a css file that does not exist and doesn t need to exist asp net steps to reproduce ensure popups are enabled update a page s settings to use popup layout open browser dev tools reload page that has popup layout assigned in settings see error in console current behavior error is thrown in console expected behavior no errors in console relevant log output no response anything else the popup layout scss is unnecessary and can also be removed from the theme altogether affected versions alpha what browsers are you seeing the problem on firefox chrome safari microsoft edge code of conduct i agree to follow this project s code of conduct,non_technical debt,0
remove activeforums security and related code database artifacts way back in version a new table activeforums permissions was created and replaced activeforums security there are still code references stored procedures etc that reference this obsolete table remove any existing code references or database objects associated with activeforums security remove forumsecuritykey from activeforums forums and groupsecuritykey from activeforums groups,technical debt,1
implement bookmark endpoints ℹ️ description implement endpoints related to bookmarks addbookmark getbookmarks … estimation last date may 🎯 tasks add dto messages request and response implement controller class implement service class es implement repository class es test if everything is ok using postman,non_technical debt,0
move custom errors from contracts to interfaces 📚 context interfaces are essential for users to know which functions can be called which events can be emitted which custom errors can be raised without interfaces users have to manually encode function calls decode return values decode logs decode custom errors in our codebase however there are several cases in which errors are defined in the contracts and not on the interfaces this means that users might not be able to decode these custom errors because they will be interacting with the contracts via their interfaces the opposite doesn t happen since contracts inherit these definitions from the interfaces we must therefore make interfaces as complete as possible ✔️ solution move errors definitions from contracts to interfaces,technical debt,1
feature refactor such that chunk collection resources only belong to datasets and not datasets and users description right now chunk collection s belong to first a user and then a dataset we should change this such that chunk collection s only belong to dataset s the delete bookmark route should be affected by this change users with admin permissions or higher should be able to modify any collection slight modification to search will also be needed target s server search requirement to close pr with any number of commits adhering to our pattern which refactors chunk collection s to only belong to dataset resources community channels matrix is preferred reach out on discord or matrix for further assistance,non_technical debt,0
update user profile value proposition and user stories in developer guide for update the target user profile and value proposition to match the project direction we have selected provide list of the user stories and update delete existing ones if applicable including priorities this can include user stories considered but will not be included in the final product,non_technical debt,0
write a script to verify if package lock json is updated issue there s no checker for us to verify if package lock json is updated so we were not able to automatically catch that changeset didn t update package lock json requirements write a script and run as a gh pr checker to verify package lock json ref related to,technical debt,1
the deposits overview client rest api endpoint is no longer used and should be removed describe the bug the deposits overview is no longer used by the woopayments client since woopayments we should remove this endpoint from the client to ensure we re not unnecessarily maintaining redundant code endpoints rest api documentation must also be updated to reflect these changes additional information related to server issue for removal of this endpoint related to client issue for removal of data fetching code related to deposits overview,technical debt,1
dir contents diff has a local ci reproducibility flaw on ci luci we always write the file flutter logs dir noop txt that does not happen locally for example scenario app android output txt txt platformviewwithtextureviewuitest testplatformviewtwointersectingoverlays png platformviewwithtextureviewuitest testplatformviewwithoutoverlayintersection png spawnenginetests testspawnedengine png logcat txt noop txt will always fail locally because noop txt is not written ideas this is fine let tools figure out how to deal with it status quo always write a dummy file noop txt to disk when making a comparison always ignore the file noop txt,technical debt,1
can t enable sr iov gpu in ui describe the bug you can t enable sr iov gpu in the ui to reproduce steps to reproduce the behavior enable both pcidevices controller and nvidia driver toolkit addon on a system with a gpu installed navigate to sr iov gpu devices in the left sidebar enable one of the gpus by clicking the three dots on the right and selecting enable expected behavior the gpu should enable and be available as an option in vgpu devices support bundle you can generate a support bundle in the bottom of harvester ui it includes logs and configurations that help diagnose the issue tokens passwords and secrets are automatically removed from support bundles if you feel it s not appropriate to share the bundle files publicly please consider wait for a developer to reach you and provide the bundle file by any secure methods join our slack community to provide the bundle send the bundle to harvester support bundle suse com with the correct issue id environment harvester iso version underlying infrastructure e g baremetal with dell poweredge node bare metal additional context found while testing it s worth noting that on this cluster there are nodes both have gpus but one them shouldn t support this feature the issue might be related to the feature check on the chipset,non_technical debt,0
ct should not be called if disposed balancing act fuzz unbuilt listenerorderrandom query brand phet ea fuzz listenerorder random uncaught error assertion failed should not be called if disposed error assertion failed should not be called if disposed at window assertions assertfunction at assert tinyemitter ts at emit tinyproperty ts at notifylisteners tinyproperty ts at set tinyforwardingproperty ts at set node ts at setpickable node ts at brickstacknode js at tinyemitter ts at emit readonlyproperty ts about blank enabling assert listenerorder random seed continuous test load assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error id sparky node puppeteer snapshot from am balancing act fuzz unbuilt listenerorderrandom query brand phet ea fuzz listenerorder random uncaught error assertion failed should not be called if disposed error assertion failed should not be called if disposed at window assertions assertfunction at assert tinyemitter ts at emit tinyproperty ts at notifylisteners tinyproperty ts at set tinyforwardingproperty ts at set node ts at setpickable node ts at brickstacknode js at tinyemitter ts at emit readonlyproperty ts about blank enabling assert listenerorder random seed continuous test load assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at brickstacknode setpickable at set pickable at array updatepickabilitywhenanimating at tinyproperty emit at property notifylisteners continuous test error id sparky node puppeteer snapshot from am balancing act multitouch fuzz unbuilt query brand phet ea fuzz fuzzpointers supportspanandzoom false uncaught error assertion failed should not be called if disposed error assertion failed should not be called if disposed at window assertions assertfunction at assert tinyemitter ts at emit tinyproperty ts at notifylisteners tinyproperty ts at set tinyforwardingproperty ts at set node ts at setpickable node ts at imagemassnode js at listener tinyemitter ts at emit readonlyproperty ts about blank enabling assert continuous test load assertion failed should not be called if disposed error error assertion failed should not be called if disposed at window assertions assertfunction at tinyforwardingproperty emit at tinyforwardingproperty notifylisteners at tinyforwardingproperty set at tinyforwardingproperty set at imagemassnode setpickable at set pickable at at tinyproperty emit at property notifylisteners continuous test error id sparky node puppeteer snapshot from am,non_technical debt,0
determine a way to unambiguously re export types without silent conflicts heavy check mark arlyon here for a fix please see this comment this issue is now about determining the best way to fix the aliasing issue hi i just updated from to i m trying to create a subscription with subscriptionpaymentbehavior defaultincomplete when i pass subscriptionpaymentbehavior defaultincomplete to createsubscription wrapping inside option appropriately the compiler complains that i m passing the wrong one expected enum stripe resources generated billing subscription subscriptionpaymentbehavior found enum subscriptionpaymentbehavior i m using stripe subscriptionpaymentbehavior if i try using stripe resources generated billing subscription subscriptionpaymentbehavior the compiler complains that resources is a private module my features async stripe version features,technical debt,1
should retry d transfers reflect updated configuration config before oops there s a typo directory my datta accept if the problem in the config is fixed and the process is restarted directory my data accept when starts up failed messages will be recovered from the retry queue and their new fields will still have the original directory this isn t wrong but works differently i haven t looked at the code to prove it but that s how i ve seen it work we re considering deleting the new fields when recovering messages from retry queues if we don t change this if a directory needs to be changed the user would need to edit the retry queue file on disk i assume it would be even harder to edit the contents of a retry queue stored in redis,non_technical debt,0
unable to set rust analyzer target directory check for existing issues completed describe the bug provide steps to reproduce it the setting rust analyzer rust analyzertargetdir does not trigger rust analyzer to write to a custom directory in my lsp settings i have json rust analyzer rust analyzertargetdir target analyzer with these settings i expect rust analyzer to create and use a target analyzer directory in my project but it does not instead it seems to use target debug this setting is relevant when rust analyzer is overwriting the build cache and ruining incremental compilation this can happen under a variety of circumstances and setting a custom directory is a nice escape hatch environment zed zed preview os macos memory gib architecture if applicable add mockups screenshots to help explain present your vision of the feature no response if applicable attach your library logs zed zed log file to this issue if you only need the most recent lines you can run the zed open log command palette action to see the last no response,non_technical debt,0
record new demo video for documentation demo video currently in top level overview is slightly outdated and its content has since been improved upon dashboard has been tweaked and looks a little better playlist naming has been added etc video does not yet reflect the most recent updates,non_technical debt,0
continuous integration setup as a team member contributing to the wishlists team i need to make sure my code changes won t break the master branch so that the project can continuing advancing without errors details and assumptions the team is trying to use continuous integration with github actions acceptance criteria given i m a developer working on a feature or bug fix or issue when i push changes to the master branch or submit a pull request then i expect github actions to automatically run our unit test cases and notify me if any tests fail and i can proceed knowing that only passing changes will be merged into the master branch,technical debt,1
cve medium detected in linuxlinux cve medium severity vulnerability vulnerable library linuxlinux the linux kernel library home page a href found in head commit a href found in base branch master vulnerable source files net core net namespace c net core net namespace c vulnerability details a use after free vulnerability was found in network namespaces code affecting the linux kernel before the function get net ns by id in net core net namespace c does not check for the net count value after it has found a peer network in netns ids idr which could lead to double free and memory corruption this vulnerability could allow an unprivileged local user to induce kernel memory corruption on the system leading to a crash due to the nature of the flaw privilege escalation cannot be fully ruled out although it is thought to be unlikely publish date url a href cvss score details base score metrics exploitability metrics attack vector local attack complexity high privileges required low user interaction none scope unchanged impact metrics confidentiality impact none integrity impact none availability impact high for more information on scores click a href suggested fix type upgrade version origin a href release date fix resolution step up your open source security game with mend,non_technical debt,0
macos arm compile build problems i m trying to publish my local natives inside a jar is not my first time in doing that but this is going to be difficult i ve found some problems sbt is no more a valid command now mac users have to run brew install sbt and then for example sbt native nativecompile running scripts publish local native sh will incur into scripts crosscompile linux sh permission denied chmod x scripts crosscompile linux sh now running the file publish local native sh it goes into warning the requested image s platform linux does not match the detected host platform linux and no specific platform was requested bash sbt no such file or directory i found two solutions for the sbt no such file error the first is to take back in the repo the old sbt file from old versions the second one is to modify the crosscompile linux sh in order to install sbt and execute sbt instead of sbt docker run it rm v pwd pdal java v home root v home sbt root sbt v home coursier cache root cache coursier daunnc pdal ubuntu bash c apt get update apt get install y curl gnupg echo deb all main tee etc apt sources list d sbt list echo deb tee etc apt sources list d sbt old list curl sl apt key add apt get update apt get install y sbt cd pdal java sbt native compile both solution goes into the next error when executing the file crosscompile linux sh it stop at this error curl lib linux gnu libcurl so no version information available required by curl java lang unsatisfiedlinkerror error looking up function stat java undefined symbol stat at com sun jna function function java at com sun jna nativelibrary getfunction nativelibrary java at com sun jna nativelibrary getfunction nativelibrary java at com sun jna nativelibrary getfunction nativelibrary java at com sun jna library handler invoke library java at com sun proxy stat unknown source at sbt internal io anonfun getmodifiedtimenative milli scala at sbt internal io milliposixbase checkedio milli scala at sbt internal io getmodifiedtimenative milli scala at sbt internal io getmodifiedtimenative milli scala at sbt internal io millinative getmodifiedtime milli scala at sbt internal io milli getmodifiedtime milli scala at sbt io io anonfun getmodifiedtimeorzero io scala at sbt internal io retry apply mjc sp retry scala at sbt internal io retry apply mjc sp retry scala at sbt internal io retry apply mjc sp retry scala at sbt io io getmodifiedtimeorzero io scala at sbt internal classpath classloadercache key anonfun lessinit greater apply classloadercache scala at sbt internal classpath classloadercache key anonfun lessinit greater apply classloadercache scala at scala collection immutable list map list scala at sbt internal classpath classloadercache key classloadercache scala at sbt internal classpath classloadercache key classloadercache scala at sbt internal classpath classloadercache cachedcustomclassloader classloadercache scala at sbt state stateopsimpl initializeclassloadercache extension state scala at sbt standardmain initialstate main scala at sbt xmain anonfun run main scala at scala util dynamicvariable withvalue dynamicvariable scala at scala console within console scala at sbt internal util terminal within terminal scala at sbt internal util terminal anonfun withstreams terminal scala at scala util dynamicvariable withvalue dynamicvariable scala at scala console without console scala at sbt internal util terminal anonfun without terminal scala at scala util dynamicvariable withvalue dynamicvariable scala at scala console witherr console scala at sbt internal util terminal without terminal scala at sbt internal util terminal withstreams terminal scala at sbt xmain withstreams main scala at sbt xmain run main scala at sun reflect nativemethodaccessorimpl native method at sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java at sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java at java lang reflect method invoke method java at sbt internal xmainconfiguration run xmainconfiguration java at sbt xmain run main scala at xsbt boot launch anonfun run launch scala at xsbt boot launch withcontextloader launch scala at xsbt boot launch run launch scala at xsbt boot launch anonfun apply launch scala at xsbt boot launch launch launch scala at xsbt boot launch apply launch scala at xsbt boot launch apply launch scala at xsbt boot boot runimpl boot scala at xsbt boot boot run boot scala at xsbt boot boot main boot scala at xsbt boot boot main boot scala error during sbt launcher java lang unsatisfiedlinkerror error looking up function stat java undefined symbol stat i m currently investigating for a solution any advice is appreciated,non_technical debt,0
test check all advanced options in a managed event type managedoptions implemented in from,non_technical debt,0
debt resolution onboarding austin smith welcome to the debt resolution team this ticket is to track onboarding efforts onboarding new hire tasks obtain fingerprints at va approved location as advised by prime contractor onboarding liason complete all va contractor onboarding paperwork sent by prime contractor onboarding liason review onboarding checklist this will be provided by your delivery manager meet with onboarding buddy set up daily check in cadence for first weeks complete all relevant new vfs team member ticket tasks this will be created by your delivery manager after you are sac adjudicated but you can begin working on most tasks before this occurs post sac adjudication new hire tasks accept invite to vsa github repositories you will receive this invite after the dm has submitted your request to add user to the va organization update dsva slack profile per delivery manager tasks pre sac adjudication access requests request new hire to complete va fingerprinting request new hire to complete va onboarding paperwork post sac adjudication access requests create a getting onboarded with va gov platform ticket request access to ticket confirm platform has granted write access to vsa github repositories after new vfs team member ticket items have been completed after git hub repo write access has been granted by platform then add to zenhub team workspace request access to ticket request access to sketch for designer researchers only via design channel tag kevin hoffman and naomi marcussen and include name role and email address request access to mural for designer researchers only must have a va gov email address to request access,technical debt,1
remove notify docs team workflow added via merged sept it used an action not on repo allow list so failed and was disabled there was a todo to get this added but was not done as this has never worked and uses an action not on the new org allow list propose we remove it entirely cc martyav,technical debt,1
failing test security solution cypress x pack test security solution cypress cypress investigations alerts alerts cell actions·cy·ts alerts cell actions filter before each hook for should filter out a non empty property before each hook for should filter out a non empty property a test failed on a tracked branch error timed out while retrying last result was false because this error occurred during a before each hook we are skipping the remaining tests in the current suite filter at context completeorretry webpack support commands js first failure,non_technical debt,0
deploy service to be the cloud as a i need so that details and assumptions we will use a redis database counter will be stored as name value pair acceptance criteria gherkin given i have incremented the couter to when i restart the service then the counter should still return,technical debt,1
add a loading screen dependency overview we have a loading screen and it s ugly lol it happens quickly when people first come to our page it s just the word loading really quickly in the corner and distracts from the flow of the rest of the website bonus points if you want to add a cute little animation resources instructions,non_technical debt,0
need the ability to automate continuous integration checks as a developer i need automation to build and test every pull request so that i do not have to rely on manual testing of each request which is time consuming assumptions github actions will be used for the automation workflow the workflow must include code linting and testing the docker image should be postgres alpine for the database a github actions badge should be added to the readme md to reflect the build status acceptance criteria gherkin given code is ready to be merged when a pull request is created then github actions should run linting and unit tests and the badge should show that the build is passing,technical debt,1
chore ui global auth route protector currently every route has to have this code in its page server ts file to ensure the user is redirected to if their session has expired or doesn t exist we need a global route protector that can do this for all desired routes investigate if this can just be done with a parent page server ts file and if so why it s not working test to ensure sessions that have expired are redirected to the login page for example when a new message is sent in a thread rather than just failing with a or const session await getsession if session throw redirect links to any relevant code optional i e additional context add any other context or screenshots about the technical debt here,technical debt,1
write native go tests instead of plain manifests problem there is no option to launch a kind cluster in ci and perform automated testing during the development process preferred solution it is called end to end tests please follow the operator sdk about testing additional context we do not have a proper kustomize binding for test manifests that is also not very good,technical debt,1
create automation to build images upon provisioner code changes describe the issue right now when we make code changes to the public cloud provisioner we manually trigger the build for the image and then test it and then tag it with prod to deploy the changes to prod there is scope for automation here additional context add any other context attachments or screenshots acceptance criteria fully automate or semi automate at least the build for dev the process outlined above,technical debt,1
💡 마이페이지 주문상세 ui 📝 설명 마이페이지 주문조회 페이지에 결제완료 페이지 사용해서 연결시켜줍니다 ✅ 체크사항 마이페이지 주문상세 클릭시 해당 ui가 나옵니다,non_technical debt,0
sampling rate problem i have a question regarding this i have prepared a japanese dataset with a sampling rate of is it necessary to convert the sampling rate to or can i leave the sampling rate as it is thank you,non_technical debt,0
copy of deploy service to the cloud as a i need so that details and assumptions acceptance criteria gherkin given when then,technical debt,1
tab with haonick tab version software causing compatibility issue tab additional info i don t understand how to configure because i put the condition but when i do haonick random i e to put a nickname it doesn t just change my name in tabs and tags but the prefix always remains and the draw doesn t work checklist i am running latest version of the plugin i ticked all of the boxes without actually reading them the compatibility wiki page does not mention this incompatibility i am willing to cooperate to get this issue resolved faster including providing any additional information requested or testing new builds,non_technical debt,0
network project form i cannot clearly see the options chosen in a multiple value field when selecting multiple partners it s not clear which ones have been chosen for example on,non_technical debt,0
ensure api container runs a non root user migrated from the api container seems to fail the kyverno require non root user policy validate that this is still an issue and update the dockerfile so that the container is is able to run as a non root user,technical debt,1
update to node node has reached end of life we need to upgrade we may want to start with our github actions,technical debt,1
cve medium detected in katex tgz cve medium severity vulnerability vulnerable library katex tgz fast math typesetting for the web library home page a href path to dependency file package json path to vulnerable library node modules katex package json dependency hierarchy x katex tgz vulnerable library found in head commit a href found in base branch master vulnerability details katex is a javascript library for tex math rendering on the web code that uses katex s trust option specifically that provides a function to blacklist certain url protocols can be fooled by urls in malicious inputs that use uppercase characters in the protocol in particular this can allow for malicious input to generate javascript links in the output even if the trust function tries to forbid this protocol via trust context context protocol javascript upgrade to katex to remove this vulnerability publish date url a href cvss score details base score metrics exploitability metrics attack vector network attack complexity low privileges required low user interaction required scope unchanged impact metrics confidentiality impact low integrity impact low availability impact low for more information on scores click a href suggested fix type upgrade version origin a href release date fix resolution katex step up your open source security game with mend,non_technical debt,0
add owners md describe what should be investigated or refactored spawned from adopt something like what does to clearly define who manages zarf this will become more critical after zarf is donated to openssf it also serves to recognize emeritus status contributors and protect contribution history links to any relevant code owners md additional context add any other context or screenshots about the technical debt here,technical debt,1
site is not usable url browser version firefox mobile operating system android tested another browser yes opera problem type site is not usable description page not loading correctly steps to reproduce more than the broken design the news appears twice in the page view the screenshot img alt screenshot src browser configuration gfx webrender all false gfx webrender blob images true gfx webrender enabled false buildid channel beta hastouchscreen true mixed active content blocked false mixed passive content blocked false tracking content blocked false from with ❤️,non_technical debt,0
remove existing customization profile system 📓 summary as part of the one discover initiative we will be phasing out the discover customization framework in favour of a more robust architecture that better supports the vision for discover while we won t be able to remove the customization framework entirely until we merge logs explorer with discover in the meantime we can can remove the existing customization profile system as it is currently unused this removal will help us pay down some tech debt in the near term as well as providing a cleaner slate to work from when implementing the one discover architecture ✔️ acceptance criteria remove the customization profile system entirely from the discover codebase so that no references to profiles remain ensure the remainder of the customization framework continues to function as it does today so that applications which rely on it such as logs explorer and timeline are unaffected by the removal,technical debt,1
deploy service to the cloud as a service provider i need to deploy the service to the cloud so that the service can elasticly scale it s infrastructure to the workload saving cost details and assumptions we will be using ibm cloud acceptance criteria gherkin given i have deployed to the cloud when a customer types in our url then our service will be available,technical debt,1
